## MB CDI: WGs

# Note: no stress, alternates (/) on separate lines, phrases on same line, shh removed

Children
Word      	Length    	PS1       	PS2       	PS3       	PS4       	PS5       	PS6       	PS7       	PS8       	PS9       	PS10      	PS11      	PS12      	PS13      	PS14      	PS15      	PS16      	PS sum    	PS avg    	B1        	B2        	B3        	B4        	B5        	B6        	B7        	B8        	B9        	B10       	B11       	B12       	B13       	B14       	B15       	B sum     	B avg     	ND        	Neighbors 
manTana   	7         	0.084687  	0.24001   	0.090652  	0.015876  	0.172201  	0.069389  	0.185051  	--        	--        	--        	--        	--        	--        	--        	--        	--        	0.857867  	0.122552  	0.033765  	0.025624  	0.003105  	0.004921  	0.017919  	0.024621  	--        	--        	--        	--        	--        	--        	--        	--        	--        	0.109955  	0.018326  	0         	
na4anxa   	7         	0.027132  	0.24001   	0.117979  	0.189762  	0.076529  	0.008296  	0.185051  	--        	--        	--        	--        	--        	--        	--        	--        	--        	0.84476   	0.12068   	0.008919  	0.048279  	0.020941  	0.015245  	0.001954  	0.0096    	--        	--        	--        	--        	--        	--        	--        	--        	--        	0.104938  	0.01749   	0         	
paleta    	6         	0.112732  	0.24001   	0.078773  	0.119055  	0.079448  	0.226442  	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	0.856459  	0.142743  	0.034335  	0.024084  	0.012718  	0.015144  	0.055197  	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	0.141476  	0.028295  	3         	aleta maleta paleto 
pan       	3         	0.112732  	0.24001   	0.090652  	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	0.443394  	0.147798  	0.034335  	0.025624  	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	0.059959  	0.029979  	7         	an tan san pa4 paT pun pin 
pastel    	6         	0.112732  	0.24001   	0.071438  	0.07204   	0.096101  	0.037877  	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	0.630199  	0.105033  	0.034335  	0.017283  	0.015346  	0.014843  	0.016     	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	0.097806  	0.019561  	0         	
platano   	7         	0.112732  	0.02996   	0.072185  	0.07204   	0.172201  	0.069389  	0.15296   	--        	--        	--        	--        	--        	--        	--        	--        	--        	0.681467  	0.097352  	0.003425  	0.012534  	0.002807  	0.0387    	0.017919  	0.008799  	--        	--        	--        	--        	--        	--        	--        	--        	--        	0.084185  	0.014031  	0         	
banana    	6         	0.079747  	0.24001   	0.090652  	0.189762  	0.076529  	0.226442  	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	0.903142  	0.150524  	0.027546  	0.025624  	0.008982  	0.015245  	0.020422  	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	0.09782   	0.019564  	0         	
poLo      	4         	0.112732  	0.157271  	0.019693  	0.122568  	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	0.412263  	0.103066  	0.01493   	0.001992  	0.007191  	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	0.024113  	0.008038  	6         	popo pono poko boLo piLo peLo 
kesadiLa  	8         	0.135646  	0.148072  	0.071438  	0.189762  	0.042008  	0.067555  	0.012039  	0.242582  	--        	--        	--        	--        	--        	--        	--        	--        	0.909102  	0.113638  	0.005429  	0.020117  	0.01228   	0.010466  	0.003545  	0.009893  	0.011649  	--        	--        	--        	--        	--        	--        	--        	--        	0.07338   	0.010483  	0         	
keso      	4         	0.135646  	0.148072  	0.071438  	0.122568  	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	0.477724  	0.119431  	0.005429  	0.020117  	0.008038  	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	0.033584  	0.011195  	5         	eso weso peso beso kaso 
