Children
Word      	Length    	PS1       	PS2       	PS3       	PS4       	PS5       	PS6       	PS7       	PS8       	PS9       	PS10      	PS11      	PS12      	PS13      	PS14      	PS15      	PS sum    	PS avg    	B1        	B2        	B3        	B4        	B5        	B6        	B7        	B8        	B9        	B10       	B11       	B12       	B13       	B14       	B sum     	B avg     	ND        	Neighbors 
biTiklEta 	9         	0.078686  	0.051302  	0.017005  	0.030168  	0.026193  	0.041889  	0.016238  	0.056708  	0.14514   	--        	--        	--        	--        	--        	--        	0.463329  	0.051481  	0.00443   	0.000968  	0.001927  	0.002443  	0.000394  	0.001507  	0.006598  	0.055464  	--        	--        	--        	--        	--        	--        	0.073732  	0.009217  	1         	biTiklEta 
bA4ko     	5         	0.078686  	0.084683  	0.103669  	0.021731  	0.056409  	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	0.345178  	0.069036  	0.011327  	0.013212  	0.00646   	0.004041  	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	0.035041  	0.00876   	6         	bA4kos bAnko mA4ko CA4ko bA4ka bA4ko 
abjOn     	5         	0.0774    	0.019126  	0.004569  	0.028711  	0.092861  	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	0.222667  	0.044533  	0.012287  	0.000926  	0.000845  	0.010229  	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	0.024288  	0.006072  	1         	abjOn 
autobUs   	7         	0.0774    	0.031816  	0.060157  	0.072013  	0.01915   	0.002946  	0.144516  	--        	--        	--        	--        	--        	--        	--        	--        	0.407996  	0.058285  	0.000648  	0.000762  	0.006074  	0.000444  	0.000593  	0.00058   	--        	--        	--        	--        	--        	--        	--        	--        	0.009101  	0.001517  	1         	autobUs 
Agwa      	4         	0.019925  	0.007331  	0.005368  	0.116044  	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	0.148668  	0.037167  	0.001538  	0.001738  	0.000761  	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	0.004037  	0.001346  	3         	Aga gwA Agwa 
arOT      	4         	0.0774    	0.003869  	0.006142  	0.011582  	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	0.098992  	0.024748  	0.003613  	0.000316  	0.000725  	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	0.004654  	0.001551  	1         	arOT 
atOle     	5         	0.0774    	0.005643  	0.006142  	0.019284  	0.053165  	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	0.161635  	0.032327  	0.003551  	0.00013   	0         	0.003534  	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	0.007215  	0.001804  	0         	
atUn      	4         	0.0774    	0.005643  	0.006825  	0.035795  	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	0.125664  	0.031416  	0.003551  	0.00013   	0.00104   	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	0.004721  	0.001574  	2         	aUn atUn 
aTUka4    	6         	0.0774    	0.0084    	0.006825  	0.021731  	0.106561  	0.082783  	--        	--        	--        	--        	--        	--        	--        	--        	--        	0.3037    	0.050617  	0.00557   	0.000777  	0.000367  	0.006359  	0.011287  	--        	--        	--        	--        	--        	--        	--        	--        	--        	0.02436   	0.004872  	1         	aTUka4 
kafE      	4         	0.137479  	0.125889  	0.005975  	0.054536  	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	0.323879  	0.08097   	0.031848  	0.000612  	0.00069   	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	0.03315   	0.01105   	4         	kAe kAbe kALe kafE 
kalabATa  	8         	0.137479  	0.125889  	0.069063  	0.116044  	0.01915   	0.06972   	0.007973  	0.144508  	--        	--        	--        	--        	--        	--        	--        	0.689826  	0.086228  	0.031848  	0.014844  	0.006734  	0.000736  	0.000213  	0.001304  	0.001157  	--        	--        	--        	--        	--        	--        	--        	0.056836  	0.008119  	0         	
kA4ne     	5         	0.137479  	0.084683  	0.103669  	0.035795  	0.053165  	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	0.414792  	0.082958  	0.015554  	0.013212  	0.001733  	0.004731  	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	0.03523   	0.008807  	1         	kA4ne 
Te4eAl    	6         	0.016355  	0.110117  	0.103669  	0.076687  	0.071004  	0.041889  	--        	--        	--        	--        	--        	--        	--        	--        	--        	0.419721  	0.069953  	0.006266  	0.012333  	0.007594  	0.002311  	0.004641  	--        	--        	--        	--        	--        	--        	--        	--        	--        	0.033145  	0.006629  	0         	
CICa4o    	6         	0.012061  	0.047164  	0.012221  	0.116044  	0.106466  	0.13705   	--        	--        	--        	--        	--        	--        	--        	--        	--        	0.431006  	0.071834  	0.002304  	0.001212  	0.002228  	0.010037  	0.013466  	--        	--        	--        	--        	--        	--        	--        	--        	--        	0.029246  	0.005849  	0         	
CIkle     	5         	0.012061  	0.047164  	0.052741  	0.019284  	0.053165  	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	0.184416  	0.036883  	0.002304  	0.003041  	0.000859  	0.003534  	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	0.009739  	0.002435  	1         	CIkle 
CIle      	4         	0.012061  	0.047164  	0.069063  	0.076687  	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	0.204975  	0.051244  	0.002304  	0.001771  	0.006725  	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	0.0108    	0.0036    	2         	CIkle dIle 
CokolAte  	8         	0.012061  	0.103575  	0.052741  	0.072013  	0.040113  	0.06972   	0.080349  	0.064852  	--        	--        	--        	--        	--        	--        	--        	0.495423  	0.061928  	0.001639  	0.005627  	0.011622  	0.002581  	0.006551  	0.000817  	0.02112   	--        	--        	--        	--        	--        	--        	--        	0.049957  	0.007137  	1         	CokolAte 
komIda    	6         	0.137479  	0.103575  	0.054628  	0.067935  	0.052903  	0.145787  	--        	--        	--        	--        	--        	--        	--        	--        	--        	0.562308  	0.093718  	0.038837  	0.011688  	0.004689  	0.008845  	0.012473  	--        	--        	--        	--        	--        	--        	--        	--        	--        	0.076532  	0.015306  	4         	komIa komIdas komIdo komIda 
dUlTe     	5         	0.057161  	0.023265  	0.069063  	0.011582  	0.053165  	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	0.214236  	0.042847  	0.000963  	0.002614  	0.000449  	0.0017    	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	0.005726  	0.001432  	1         	dUlTe 
du4ATno   	7         	0.057161  	0.031816  	0.103669  	0.100855  	0.015732  	0.082653  	0.150231  	--        	--        	--        	--        	--        	--        	--        	--        	0.542116  	0.077445  	0.000623  	0.002548  	0.014977  	0.001683  	0         	0.004826  	--        	--        	--        	--        	--        	--        	--        	--        	0.024657  	0.00411   	0         	
exOtes    	6         	0.057527  	0.004278  	0.006142  	0.07096   	0.053165  	0.060574  	--        	--        	--        	--        	--        	--        	--        	--        	--        	0.252647  	0.042108  	0.000249  	0         	0.000177  	0.00696   	0.011485  	--        	--        	--        	--        	--        	--        	--        	--        	--        	0.018871  	0.003774  	0         	
